X,  Y
0.00702422, 0.0261052
0.00704307, 0.0261433
0.00707123, 0.0262002
0.00707793, 0.0262137
0.00709355, 0.0262452
0.00713788, 0.0263344
0.00714952, 0.0263578
0.00716329, 0.0263854
0.0071633, 0.0263854
0.00719026, 0.0264395
0.00720911, 0.0264772
0.00722422, 0.0265075
0.00724667, 0.0265523
0.00725041, 0.0265598
0.00727436, 0.0266075
0.00730856, 0.0266756
0.00732013, 0.0266986
0.00733892, 0.0267359
0.00734668, 0.0267513
0.00734979, 0.0267575
0.00735746, 0.0267727
0.00741562, 0.0268878
0.00759065, 0.0272317
0.00760192, 0.0272537
0.0076378, 0.0273237
0.00765259, 0.0273525
0.00766541, 0.0273774
0.00766545, 0.0273775
0.00770367, 0.0274518
0.00770757, 0.0274593
0.00776187, 0.0275645
0.00776891, 0.0275781
0.00777108, 0.0275822
0.00779695, 0.0276322
0.00785713, 0.027748
0.00786752, 0.027768
0.00791728, 0.0278633
0.00793361, 0.0278946
0.00793842, 0.0279038
0.00796481, 0.0279541
0.0079828, 0.0279884
0.00799523, 0.0280121
0.00801203, 0.0280441
0.00802409, 0.028067
0.00803129, 0.0280807
0.0080461, 0.0281088
0.00804891, 0.0281141
0.00805154, 0.0281191
0.00807243, 0.0281587
0.00808515, 0.0281828
0.00820024, 0.0283998
0.00827536, 0.0285406
0.00835057, 0.0286809
0.00836027, 0.028699
0.00838829, 0.028751
0.00845938, 0.0288827
0.00852857, 0.0290103
0.00854573, 0.0290419
0.00854698, 0.0290442
0.00857282, 0.0290916
0.00870177, 0.0293273
0.00871347, 0.0293486
0.00872001, 0.0293605
0.00873638, 0.0293902
0.00875131, 0.0294174
0.00876669, 0.0294453
0.0087792, 0.0294679
0.008793, 0.0294929
0.00880709, 0.0295184
0.00885642, 0.0296075
0.00885891, 0.029612
0.00888788, 0.0296642
0.00901772, 0.029897
0.0090187, 0.0298988
0.00913176, 0.0301
0.00913678, 0.0301089
0.0091574, 0.0301455
0.00924115, 0.0302935
0.0092488, 0.030307
0.00925054, 0.03031
0.00933185, 0.030453
0.00935995, 0.0305022
0.00938848, 0.0305521
0.00946323, 0.0306825
0.00952536, 0.0307905
0.00954409, 0.0308229
0.00959623, 0.0309131
0.00964708, 0.0310009
0.00971734, 0.0311217
0.00974352, 0.0311666
0.00978866, 0.0312439
0.00980004, 0.0312633
0.00982091, 0.031299
0.00992313, 0.031473
0.00992823, 0.0314816
0.00997444, 0.0315599
0.00998057, 0.0315703
0.0100237, 0.0316432
0.010083, 0.0317432
0.0100876, 0.0317509
0.0100964, 0.0317658
0.0101106, 0.0317896
0.0101109, 0.0317901
0.0102061, 0.0319498
0.0102093, 0.0319552
0.0102161, 0.0319664
0.0102365, 0.0320006
0.0102463, 0.032017
0.0103737, 0.032229
0.010404, 0.0322791
0.0104043, 0.0322797
0.0104309, 0.0323237
0.0104796, 0.0324041
0.0104898, 0.032421
0.0105076, 0.0324504
0.0105092, 0.032453
0.0105126, 0.0324585
0.0105393, 0.0325026
0.010544, 0.0325102
0.010601, 0.032604
0.0106112, 0.0326207
0.0106886, 0.0327474
0.0107079, 0.0327789
0.0108153, 0.0329538
0.0108518, 0.0330131
0.0108606, 0.0330273
0.0108632, 0.0330315
0.0108842, 0.0330656
0.0109035, 0.0330967
0.010906, 0.0331009
0.0109162, 0.0331173
0.0109522, 0.0331754
0.0109541, 0.0331785
0.0110482, 0.0333301
0.0110986, 0.033411
0.0111073, 0.033425
0.0112753, 0.0336934
0.0112896, 0.0337162
0.0113103, 0.0337492
0.0113318, 0.0337833
0.011346, 0.033806
0.0113526, 0.0338163
0.011384, 0.0338661
0.0113991, 0.0338901
0.011432, 0.0339422
0.0114854, 0.0340266
0.0116159, 0.0342321
0.0116709, 0.0343184
0.0117076, 0.0343759
0.0117408, 0.0344279
0.0117574, 0.0344538
0.011777, 0.0344844
0.0119051, 0.0346842
0.0119207, 0.0347083
0.0119493, 0.0347528
0.0119801, 0.0348005
0.0119857, 0.0348093
0.0119931, 0.0348208
0.0120031, 0.0348362
0.0120118, 0.0348497
0.0120238, 0.0348683
0.012039, 0.0348918
0.0120974, 0.0349821
0.0121317, 0.0350351
0.0121645, 0.0350856
0.01217, 0.0350941
0.012207, 0.035151
0.0122754, 0.0352561
0.0123833, 0.0354215
0.0124078, 0.0354589
0.0124148, 0.0354697
0.0124184, 0.0354752
0.0124647, 0.0355458
